Date,Unit1,Unit2,701,702,701a,701b,701c,702a,702b,702c,301-302,303_304,305_306,401_402,403_404,405,508,PAL21,PAL22D,PAL25D,PAL24D,PAL28D,PAL2D,PAL3D,PAL4D,PAL9D,PAL13D
7/6/2016 5:00,59.29999924,54.77999878,492.2078247,460.7796936,0,0,0,0,5.921254635,0,93.90542603,149.9983368,162.1352081,132.7472534,129.8943787,227.2050476,82.9210968,8.939433098,9.401339531,10.98667622,9.172087669,,10.11443424,8.798967361,9.883333206,9.370596886,10.16086197
7/6/2016 5:10,59.27000046,54.61000061,492.108429,459.8554382,0,0,0,0,5.934604168,0,96.66641998,150.7028503,166.0829926,127.4441071,127.1259918,229.4659576,90.95114899,8.949569702,9.773534775,10.7312336,9.06388092,,10.1062212,8.791716576,9.852664948,9.409033775,10.18265152
7/6/2016 5:20,59.09000015,54.77999878,491.1149902,461.7115784,0,0,0,0,5.920640945,0,97.27854919,153.0409546,168.2493744,127.3142395,126.5697174,221.4206238,78.55630493,8.926078796,9.464118004,10.75309658,8.992704391,,10.11025333,8.796858788,9.933496475,9.384765625,10.16015911
7/6/2016 5:30,59.02000046,54.86999893,491.6704712,461.4781494,0,0,0,0,5.922071457,0,96.06866455,151.6182861,167.4648438,128.3440704,125.1075211,229.5998535,72.42889404,8.918457985,9.572509766,10.86581707,8.946239471,,10.10618496,8.798301697,9.940784454,9.41539669,10.14695168
7/6/2016 5:40,59.31999969,54.77999878,493.2486877,462.1830444,0,0,0,0,5.945770264,0,96.93515778,152.4060211,166.7419281,127.6924667,128.6416779,236.8879547,85.10662079,8.951382637,9.53277874,10.75794315,9.231389046,,10.11402702,8.814986229,9.964793205,9.418948174,10.20950794
7/6/2016 5:50,59.47999954,54.5399971,495.5787964,461.0887451,0,0,0,0,5.971003056,0,97.77166748,151.7253265,167.3063049,117.9666138,132.0816345,234.4443817,85.49264526,8.979275703,9.525712967,10.83537197,9.546836853,,10.11165905,8.794047356,9.907194138,9.383507729,10.21183872
7/6/2016 6:00,59.47999954,54.63999939,494.9284363,460.9573364,0,0,0,0,5.979545593,0,97.64622498,151.0343781,165.4989471,129.2748871,127.6261139,244.1473694,126.3526993,8.968509674,9.353506088,10.66778946,9.716675758,,10.10411263,8.836812019,9.930315018,9.442032814,10.21457672
7/6/2016 6:10,59.73999786,54.40999985,496.5538025,458.3332214,0,0,0,7.711031437,6.018018246,0,98.33435059,150.4161835,166.1330261,119.0018463,129.2779694,240.8336487,120.3196793,8.98260498,9.865020752,10.87891293,10.08594799,,10.11269569,8.850758553,9.919032097,9.471961021,10.23192692
7/6/2016 6:20,59.77999878,54.61999893,497.4902954,460.6705933,0,0,0,8.41289711,6.016844749,0,97.87836456,150.0280609,166.0071564,122.5765381,130.4057922,242.5840454,119.0021057,9.015640259,9.555418968,10.61655235,10.21372509,,10.10385323,8.861153603,9.872308731,9.460269928,10.2132082
7/6/2016 6:30,60.00999832,54.91999817,497.4197693,460.7150574,0,0,7.146398544,32.35408783,6.01448822,0,99.08356476,150.1751404,165.477951,126.9426498,130.8891296,238.0487366,113.9140015,8.97002697,9.583940506,10.81210232,10.37431622,,10.09860039,8.778102875,9.951586723,9.424608231,10.21953392
7/6/2016 6:40,59.69999695,54.54999924,496.3557434,459.8783875,0,0,0,0,5.997112751,0,98.50463867,149.1028137,164.4198914,117.456192,128.3888702,242.9768829,137.7359619,8.960112572,9.794991493,10.82516098,9.760513306,,10.11332417,8.854236603,9.960946083,9.471220016,10.21779537
7/6/2016 6:50,59.22999954,54.71999741,493.8348083,461.0271606,0,0,0,0,5.952151775,0,97.18476105,151.259201,164.9851532,117.4041138,128.8076935,240.0059662,90.53308105,8.916385651,9.797025681,10.90599251,9.571141243,,10.1049633,8.768373489,9.879448891,9.336118698,10.1534996
7/6/2016 7:00,59.43000031,54.59999847,494.0433044,460.8647156,0,0,0,0,5.960874081,0,96.25553131,151.5027161,165.6660004,124.6345444,128.3109589,245.1210632,106.4452057,8.948163986,9.338856697,10.88313103,9.514725685,,10.09079456,8.78420639,9.940526009,9.386171341,10.21601963
